代码,名称,站均线%,尾盘5min%,午后量能,午后均量倍数,涨跌幅%,现价,昨收,通过项,失败项
sh605178,时空科技,62.4,0.08,0/8,0.19,3.48,72.9,70.45,2,3
sh603341,龙旗科技,90.9,0.18,0/8,0.21,4.42,38.5,36.87,3,2
sz002546,新联电子,35.1,0.0,0/8,0.17,3.93,7.66,7.37,2,3
sz002312,川发龙蟒,13.2,-0.21,0/8,0.13,3.56,9.59,9.26,2,3
sh688166,博瑞医药,100.0,0.08,0/8,0.14,4.59,37.82,36.16,3,2
sh688131,皓元医药,100.0,0.11,0/8,0.17,4.61,90.07,86.1,3,2
sz301053,远信工业,50.8,-0.46,0/8,0.1,3.43,43.72,42.27,2,3
sz300520,科大国创,77.2,-0.16,0/8,0.2,4.25,30.68,29.43,3,2
sz300259,新天科技,38.8,0.36,0/8,0.23,4.28,5.6,5.37,2,3
sh688699,明微电子,100.0,0.34,0/8,0.14,5.65,75.6,71.56,2,3
sh688237,超卓航科,100.0,0.38,0/8,0.11,4.0,58.25,56.01,3,2
