id,name,code,reason,date,close,zhangdie,zhangfu,huanshou,chengjiaoe,chengjiaoliang,ddejingliang,market
90528838,*ST建艺,002789,庭外重组+债务豁免+珠海国资,2026-06-18,14.87,0.71,5.014,0.14,334,2247,0.0,33
90528841,爱迪特,301580,氧化锆替代+口腔种植医保+外销龙头,2026-06-18,63.17,10.53,20.004,3.45,21988,34807,0.0,33
90528848,冰轮环境,000811,数据中心液冷+拟收购整合+权益分派+烟台国资,2026-06-18,40.17,3.65,9.995,0.43,17019,42367,0.0,33
90528850,华瓷股份,001216,氧化锆粉体+齿科材料+高分红+定增完成,2026-06-18,17.4,1.58,9.987,2.1,4804,27612,0.0,33
90528851,东方锆业,002167,锆材料+固态电池+定增,2026-06-18,16.13,1.47,10.027,3.73,45613,282787,0.0,33
90528865,长裕集团,603407,氧氯化锆+陶瓷载板+光通讯+业绩增长,2026-06-18,68.04,6.19,10.008,6.55,16010,23530,3.47,17
90528874,中嘉博创,000889,算力销售+通信服务+追索7.25亿款项,2026-06-18,4.02,0.37,10.137,5.3,18523,461349,0.0,33
90528887,祥龙电业,600769,存算基地+供水+武汉国资,2026-06-18,19.16,1.74,9.989,1.44,10359,54067,0.86,17
90528996,*ST艾艾,603580,摘帽进展+新能源电池配件+扭亏为盈,2026-06-18,27.35,1.3,4.99,1.84,6563,24071,0.0,22
90529020,通鼎互联,002491,光纤光缆+产能扩张+数据中心,2026-06-18,31.58,2.87,9.997,4.71,172539,554441,0.0,33
90529024,旭光电子,600353,氮化铝+可控核聚变+定增受理,2026-06-18,42.01,3.82,10.003,3.94,135691,326512,0.3,17
90529034,三祥新材,603663,锆铪分离+锆系新材+半导体材料+固态电池,2026-06-18,87.49,7.95,9.995,4.42,162425,186814,0.88,17
90529039,艾华集团,603989,MLPC+AI服务器+铝电解电容+薄膜电容,2026-06-18,41.5,3.77,9.992,1.35,22041,53717,0.34,17
90529050,贤丰控股,002141,覆铜板+PCB上游+扭亏为盈,2026-06-18,4.71,0.43,10.047,5.39,25776,556851,0.0,33
90529062,丰元股份,002805,磷酸铁锂+固态电池+一季报扭亏,2026-06-18,26.88,2.44,9.984,11.12,82841,310097,0.0,33
90529098,立航科技,603261,摘帽+航空装备+无人机,2026-06-18,44.77,4.07,10.0,3.39,11657,26263,0.0,17
90529148,晶升股份,688478,碳化硅+半导体设备+订单增长,2026-06-18,80.44,13.41,20.006,4.02,43072,55656,0.8,17
90529167,中京电子,002579,定增通过+PCB+高阶HDI+AIPC,2026-06-18,20.32,1.85,10.016,12.15,142212,708702,0.0,33
90529224,江西铜业,600362,阴极铜龙头+新材料+中期票据,2026-06-18,53.31,4.85,10.008,6.0,658053,1246057,1.39,17
90529229,ST东尼,603595,一季报增长+碳化硅+减持落地,2026-06-18,28.97,1.38,5.002,1.19,7972,27683,0.0,22
90529258,共达电声,002655,激光加工+拟控股浙江镝嘉+车载声学+增持,2026-06-18,42.61,3.87,9.99,10.52,161577,382824,0.0,33
90529264,海欣股份,600851,创新药+APDC三期+医药制造,2026-06-18,8.04,0.73,9.986,2.28,13377,168074,0.4,17
90529266,华达科技,603358,分红派息+人形机器人+新能源车零部件,2026-06-18,39.4,3.58,9.994,6.32,114597,291974,0.0,17
